definition,sar,sensitivity,specificity,missed_cases,prop_missed
Class 5: Handled corpse only,0.5681818181818182,0.20161290322580644,0.9671848013816926,99,0.7983870967741935
Class 4-5: Body fluid contact and above,0.21940928270042195,0.41935483870967744,0.6804835924006909,72,0.5806451612903226
Class 3-5: Nursing care and above,0.2672413793103448,0.75,0.5595854922279793,31,0.25
Class 2-5: Direct physical contact and above,0.21509433962264152,0.9193548387096774,0.2815198618307427,10,0.08064516129032258
