definition,sar,sensitivity,specificity,missed_cases,prop_missed
class5_handled_corpse,0.5681818181818182,0.20161290322580644,0.9671848013816926,99,0.7983870967741935
class4to5_body_fluid_and_above,0.21940928270042195,0.41935483870967744,0.6804835924006909,72,0.5806451612903226
class3to5_nursing_and_above,0.2672413793103448,0.75,0.5595854922279793,31,0.25
class2to5_direct_physical_contact_and_above,0.21509433962264152,0.9193548387096774,0.2815198618307427,10,0.08064516129032258
