"","first_author","year_publication","location","study_id","n_index_cases","n_contacts","exposure_categories","n_exposure_categories"
"1","International Commission",1978,"Maridi","International Commission_1978_Maridi",17,192,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact",4
"2","Baron",1983,"Nzara; Yambio","Baron_1983_Nzara; Yambio",34,190,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact",4
"3","Jezek",1999,"Sud-Ubangi","Jezek_1999_Sud-Ubangi",30,290,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact",4
"4","Reaves",2014,"Firestone District","Reaves_2014_Firestone District",71,455,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; Handled corpse",5
"5","Bower",2016,"Kerry Town","Bower_2016_Kerry Town",123,809,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; Handled corpse",5
"6","Henao-Restrepo",2017,"Basse-Guinée","Henao-Restrepo_2017_Basse-Guinée",144,1105,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; Handled corpse",5
"7","Reichler",2018,"Freetown","Reichler_2018_Freetown",150,837,"No direct physical contact; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact",4
"8","Gayedyu-Dennis",2023,"Multiple (7 of 15 counties in Liberia)","Gayedyu-Dennis_2023_Multiple (7 of 15 counties in Liberia)",990,1909,"No direct physical contact; Direct physical contact - no fluids and no nursing; Body fluid contact",3
